file,num,CDPSA,GD,IGD,HV,GS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,PSA,0.023782521,0.000850009,0.213863803,0.064134603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,PSA,0.036182313,0.000744894,0.249348299,0.082766079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,PSA,0.023697574,0.000803054,0.151978398,0.165305676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,PSA,0.019572258,0.000602532,0.303278456,0.017640081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,PSA,0.099429594,0.000977837,0.091367307,0.128425324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,PSA,0.030144639,0.000868206,0.128408299,0.100829819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,PSA,0.0207022,0.000614772,0.253439005,0.078981056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,PSA,0.008302962,0.000909206,0.121,0.14195375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,PSA,0.018177538,0.000682299,0.224193887,0.057610249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,PSA,0.013688158,0.00060532,0.318606067,0.031993689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,PSA,0.012939816,0.000733574,0.189948332,0.143296254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,PSA,0.015389298,0.000645484,0.307517047,0.050542878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,CD,0.037972635,0.001900252,0.077812572,0.109972371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,CD,0.036118061,0.001249312,0.076210091,0.104455435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,CD,0.038420237,0.001323671,0.060636742,0.097414441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,CD,0.045865664,0.001314534,0.122956667,0.132450832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,CD,0.04936983,0.001806269,0,0.11997401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,CD,0.055307832,0.001431061,0.021456666,0.157024123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,CD,0.044325541,0.001236197,0.153107057,0.09376166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,CD,0.043267114,0.001468949,0.035283045,0.159400302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,CD,0.050843777,0.001703066,0.037035548,0.082969035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,CD,0.044843011,0.00160151,0.037414638,0.09154458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,CD,0.051991118,0.001477334,0,0.151867994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,CD,0.045410263,0.001508961,0.026613032,0.113564813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,CD,0.035251345,0.001279233,0.042404599,0.168266458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,CD,0.058513319,0.001575553,0,0.090710166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,CD,0.049512748,0.00172553,0.003746026,0.228994355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,CD,0.042644301,0.001437419,0.018574783,0.215003771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,CD,0.044237279,0.001332539,0.099071418,0.072857044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,CD,0.038397657,0.001597908,0.032528211,0.135237673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,CD,0.045388668,0.001586992,0.022091384,0.111640905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,CD,0.038049929,0.001470989,0.086692023,0.10485871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,PSA,0.027452377,0.001144715,0.213592357,0.036862631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,PSA,0.026061167,0.000844797,0.29575982,0.059655111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,PSA,0.027770219,0.000890766,0.254742793,0.052584672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,PSA,0.03050783,0.000834915,0.401325481,0.021612588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,PSA,0.023894653,0.000879142,0.297721736,0.048626218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,PSA,0.024707889,0.000974437,0.237809467,0.08178465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,PSA,0.064667654,0.001051652,0.189412718,0.070089848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,PSA,0.024844719,0.000793327,0.531815263,0.029778124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,PSA,0.028075148,0.000803562,0.480641205,0.027152411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,PSA,0.026430694,0.00052731,0.700634426,0.028319384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,4,PSA,0.032859869,0.000942581,0.24082599,0.06844303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
